Name,,Fiscal Year,Pitchbook Link,Company Name,Year Founded,Employee Growth ,Current Employees,Keywords,Verticals,All Industries,Lead/Sole Investors,# Follow-on Investors,Financing Status,Business Status,Deal Date,Total Invested Equity,Raised to Date,Deal Class,Deal Type,VC Round,Deal Type 2,Deal Size,Series,Deal No.,VC Round Up/Down/Flat,Current Financing Status,Financing Status Note,Current Business Status,Description,Investors,Deal Synopsis,Deal Date
By Miles,,2017,https://pitchbook.com/profiles/company/172233-19,By Miles,2015,"2021: 57, 2020: 46, 2019: 24",80,"car  insurance, car insurance app, car insurance platform, car insurance  policy, car insurance product, car insurance service, vehicle insurance","FinTech, InsurTech, Mobile, TMT","Automotive Insurance*, Electronic Equipment and Instruments, Financial Software",,,Venture Capital-Backed,Startup,20/09/2017,0.16,0.61,Venture Capital,Seed Round,2,Seed Round,0.16,,2,Up Round,Venture Capital-Backed,"The  company raised GBP 15 million of Series B venture funding in a deal led  by CommerzVentures on May 22, 2020. JamJar Investments, 14W, Octopus  Ventures and Insurtech Gateway also participated in the round.",Generating Revenue,"Provider  of pay-by-mile car insurance services intended to offer fairer and  flexible insurance policy for cars. The company's services integrate a  smartphone application and a black box to detect the usage of a car and  charge drivers according to the exact distance covered in real-time,  enabling drivers who have driven low mileages to save on insurance costs  by only paying for miles they drive.",,"The  company raised GBP 7.2 million of venture funding in a deal led by MCI  Capital on July 18, 2016, putting the company's pre-money valuation at  GBP 38.40 million. Northzone Ventures also participated in the round.  The company will use the funding for product development and marketing  activity.",
Netwealth,,2017,https://pitchbook.com/profiles/company/169690-60,Netwealth,2015,"2021: 50, 2020: 51",60,"goal  based investing, wealth management advice, wealth management advisor,  wealth management company, wealth management firm, wealth management  service",FinTech,"Asset Management*, Other Financial Services",,1,Venture Capital-Backed,Generating Revenue,19/09/2017,13.12,22.57,Venture Capital,Early Stage VC,1,,13.12,,2,Up Round,Venture Capital-Backed,"The  company raised GBP 11.39 million of angel funding in a deal led by  Stuart Rose on March 29, 2021, putting the company's pre-money valuation  at GBP 61.18 million. Michael Spencer, Stuart Rose and other investors  also participated in the round. The funds will be used to support  organic growth and invest further in technology.",Generating Revenue,"Provider  of wealth management services intended to combine elements of a  discretionary service with the benefits of a technology-enhanced  approach. The company mainly focuses on offering fully-managed  portfolios as well as retirement planning services, enabling clients to  get a comprehensive offering at a lower cost and meet their financial  goals.","Alan Parker (Alan Parker), Alison Carnwath (Dame Carnwath), David Peacock (David Peacock), Edward Carter (Edward Carter), John Weiss (John Weiss), Julian Mash (Julian Mash), LSG Holdings","The  company raised $4.5 million of seed funding in a deal led by Notion on  February 24, 2021. Foundation Capital, Slow Ventures, AvanTech Ventures,  Y Combinator and Micheal Zeisser also participated in the round.",
WeSwap,,2017,https://pitchbook.com/profiles/company/98808-40,WeSwap,2010,"2021: 27, 2020: 37, 2016: 35, 2014: 13",27,"currency  exchange application, currency exchange operations, currency exchange  platform, currency exchange portal, currency exchange service, p2p  currency exchange","FinTech, Mobile, SaaS, TMT","Financial Software*, Information Services (B2C)","Ascot Capital Partners (David Page), IW Capital (Luke Davis)",2,Venture Capital-Backed,Generating Revenue,19/09/2017,10.61,25.76,Venture Capital,Later Stage VC,4,Series B,10.61,Series B,6,,Venture Capital-Backed,An undisclosed investor sold a stake in the company in July 2021.,Generating Revenue,"Operator  of a currency exchange platform designed to help travelers around the  world get a good deal on their travel money. The company's platform  helps to swap currency with other travelers, spend money globally, track  rates and send money to friends, enabling travelers to spend, store,  swap and manage their currency in a simplified way.","111 Holdings, Andy Murray (Andy Murray), Ascot Capital Partners (David Page), EC1 Capital, IW Capital (Luke Davis), Slingshot Ventures","The  company raised $25 million of Series A venture funding in a deal led by  Tiger Global Management on December 8, 2021. Foundation Capital,  Notion, FMZ ventures, and Y Combinator also participated in the round.  The funding will be used to continue building out its software stack,  with a view to being a one-stop shop for experienced organizers.",
Habito,,2018,https://pitchbook.com/profiles/company/156930-40,Habito,2014,"2021: 155, 2019: 160, 2017: 50",163,"digital  mortgage broker, home mortgage, mortgage broker, mortgage deals,  mortgage service, online mortgage broker, online mortgage platform","Artificial Intelligence & Machine Learning, FinTech, Mortgage Tech, Real Estate Technology","Consumer Finance*, Financial Software",Atomico (Niall Wass),2,Venture Capital-Backed,Generating Revenue,14/09/2017,24.13,34.73,Venture Capital,Early Stage VC,5,Series B,24.13,Series B,6,Up Round,Venture Capital-Backed,"The  company raised $6.26 million of venture funding from Volution Ventures,  Paul Forster and other undisclosed investors on December 23, 2021,  putting the company's pre-money valuation at $113.43 million.  Previously, the company received an undisclosed amount of debt financing  in the form of a loan from Bootstrap Europe on February 8, 2021. The  additional funding will allow the company to confidently boost its  ambitious growth targets and continue to deliver ground-breaking and  innovative digital experiences and products to its customers.",Generating Revenue,"Developer  of a digital mortgage platform designed to mortgage products from a  range of lenders. The company's platform makes use of chatbot interfaces  and machine learning designed to make the process efficient, enabling  consumers to find suitable deals for themselves in order to choose the  lowest to highest monthly payments and apply for mortgages, and avoid  overpaying interest rates and monthly cost.","Atomico (Niall Wass), Loric Ventures, Mosaic Ventures (Toby Coppel), Revolution/ROTR, Ribbit Capital","The  company received an undisclosed amount of corporate financing from  Barclays on August 2, 2018. The new partnership will support the  company's ambition to broaden its reach across the UK.",
Spendology,,2017,https://pitchbook.com/profiles/company/245313-82,Spendology,2016,84.21527778,10,"cash  delivery, currency exchange platform, currency exchange software,  foreign currency, foreign currency exchange, foreign currency exchanger",FinTech,"Financial Software*, Other Financial Services",Oxford Technology Management (LON: OXH),1,Venture Capital-Backed,Generating Revenue,13/09/2017,0.03,0.16,Venture Capital,Early Stage VC,3,,0.03,,3,,Venture Capital-Backed,"The  company raised GBP 482,498 of venture funding from undisclosed  investors on August 16, 2019, putting the company's pre-money valuation  at GBP 782,829. Earlier, the company raised GBP 403,602 of venture  funding from undisclosed investors on December 14, 2018, putting the  company's pre-money valuation at GBP 699,998.",Generating Revenue,"Developer  of a currency exchanging software designed to to revolutionize the  buying and organizing of travel money. The company's software combines  technology and distribution to offers mail order travel cash services at  preferential currency exchange rates by charging a monthly or an annual  membership fee, enabling frequent travelers to get foreign currency  easily and conveniently.",Oxford Technology Management (LON: OXH),"The  company raised GBP 4 million through the combination of debt and Series  A2 venture funding from Concentric (London) on January 30, 2018,  putting the company's pre-money valuation at GBP 14.71 million.",
Coconut Platform,,2017,https://pitchbook.com/profiles/company/226361-08,Coconut Platform,2015,2021: 71,68,"automated  tax management, current account provider, expense tracking app, finance  management app, financial software, money management app, money  management application","FinTech, Mobile, SaaS","Business/Productivity Software, Financial Software*",,,Venture Capital-Backed,Generating Revenue,10/09/2017,0.59,0.72,Venture Capital,Early Stage VC,1,,0.59,,2,,Private Equity-Backed,"The  company received development capital from Winch & Co on an  undisclosed date. Previously, the company raised GPB 1.98 million of  equity crowdfunding via Crowdcube on July 24, 2021.",Generating Revenue,"Developer  of a current accounting and tax platform intended to provide financial  planning and analysis. The company's platform automatically categorizes  all the business transactions that are tax-deductible, provides guidance  about the tax rules, forecasts tax bills while also compiling the tax  return and VAT computation, enabling self-employed individuals and  clients to manage their financial expenses in order to improve their  liquidity positions.","Capella Star, Dot Matrix Group","The  company raised $500 million of Series C venture funding from  Hedosophia, Tiger Global Management, and Valor Capital Group on April 9,  2021, putting the company's pre-money valuation at $500 million. 7  other investors also participated in the round.",
Lendable,,2017,https://pitchbook.com/profiles/company/100547-83,Lendable,2014,"2021: 110, 2020: 72",148,"lending  marketplace, lending service, p2p lending service, p2p loans  marketplace, peer-to-peer lending portal, peer-to-peer loan service",FinTech,"Financial Software*, Specialized Finance",,,Venture Capital-Backed,Generating Revenue,10/09/2017,4.23,12.33,Venture Capital,Early Stage VC,2,Series A,8.42,Series A,2,,Private Equity-Backed,"The  company received GBP 210 million of development capital from Teachers'  Innovation Platform on March 10, 2022. The transaction values the  company at approximately GBP 3.5 billion. The new funding will support  the company in developing new products and drive its ambitions for  international growth.",Generating Revenue,"Operator  of a peer-to-peer lending platform designed to make loan borrowing  simple. The company's platform offers paperless loans instantly at  personalized rates without affecting credit scores to provide fair rates  with less-than-perfect credit histories, enabling people to get loans  efficiently at convenient rates.","Lambda Alpha, Waterfall Asset Management","The  company raised GBP 377,186 of venture funding from undisclosed  investors on March 15, 2019, putting the company's pre-money valuation  at GBP 1.29 million.",
Geospatial Insight,,2017,https://pitchbook.com/profiles/company/179762-41,Geospatial Insight,2012,84.22916667,28,"aerial  imagery, assets monitoring, business intelligence, geospatial data,  impact assessment, investment evaluation, risk analysis, satellite  imagery, satellite imagery analysis","Artificial Intelligence & Machine Learning, Big Data, FinTech, TMT","Business/Productivity Software*, Media and Information Services (B2B)",VenturesOne (Rafael Aldon),,Venture Capital-Backed,Generating Revenue,05/09/2017,0.45,0.84,Venture Capital,Early Stage VC,2,Series A,0.45,Series A,3,Up Round,Venture Capital-Backed,"The  company raised GBP 499,999 of venture funding from Unknown Group and  undisclosed investors on June 15, 2020, putting the company's pre-money  valuation at GBP 9.01 million.",Generating Revenue,"Provider  of business intelligence research intended to provide businesses  operating in the finance and insurance sectors an information edge over  their competitors. The company's research uses a combination of machine  learning, big data analytics, and data acquired from the analysis of  satellites or aerial imagery based upon an in-depth knowledge of  geospatial techniques, enabling clients to make better decisions in  areas such as risk analysis, investment evaluation, asset monitoring,  and event impact assessment, and delivering a distinctive competitive  advantage.",VenturesOne (Rafael Aldon),"The  company raised GBP 3.32 million of venture funding from Fifth Era and  Hillside Enterprises on January 3, 2019, putting the company's pre-money  valuation at GBP 22.92 million. Other undisclosed investors also  participated in the round.",
Alterest,,2017,https://pitchbook.com/profiles/company/152509-96,Alterest,2015,"2021: 16, 2016: 2",15,"automated  investing, data analytics, direct lending service, investment advice  service, investment management bank, investment management online,  investment management platform, machine learning","Artificial Intelligence & Machine Learning, Big Data, FinTech, SaaS, TMT","Business/Productivity Software, Financial Software*, Media and Information Services (B2B), Other Financial Services",SFC Capital,,Venture Capital-Backed,Generating Revenue,04/09/2017,0.54,0.63,Venture Capital,Early Stage VC,1,,0.54,,2,,Venture Capital-Backed,"The  company raised GBP 512,495 of venture funding from AI Seed Fund, Gaël  de Boissard and Sean Tai on November 4, 2019, putting the company's  pre-money valuation at GBP 3.57 million. Radek Jezbera also participated  in the round.",Generating Revenue,"Developer  of an analytics software designed to provide seamless data delivery,  in-depth analytics, and flexible reporting on loan portfolios across  geographies and asset classes. The company's platform leverages  technology to run complex calculations on millions of data points in  seconds, automating manual processes, and removing spreadsheet risk to  make data and analytical workflows simpler, enabling consumers and SMEs  to have access to more financing at better rates.",SFC Capital,"The  company raised GBP 48 million of Series B venture funding through a  combination of debt and equity on December 4, 2018, putting the  company's pre-money valuation at an estimated GBP 59 million. GBP 18  million of Series B funding was led by Barclays and Santander  InnoVentures with participation from Northzone Ventures, Cogito Capital  Partners and other undisclosed investors. Viola Credit provided GBP 30  million of debt to the company. The funds will be used by the company to  deepen its existing partnerships across the UK, increase hiring and  promote its business finance arm and also to forge new deals with  fintech banks both in and outside the UK to expand its customer base.  The debt funding will go towards the firm's business loan offering.",
City FALCON,,2017,https://pitchbook.com/profiles/company/103958-92,City FALCON,2014,84.22916667,31,"crowd curated, financial publication, financial software, investing ideas, stock market information, trading news","Artificial Intelligence & Machine Learning, FinTech","Financial Software, Other Financial Services*",,,Venture Capital-Backed,Generating Revenue,01/09/2017,0.71,2.64,Individual,Equity Crowdfunding,,,0.71,,8,,Venture Capital-Backed,"The  company is reportedly seeking an undisclosed amount of Series 1 seed  funding from Holt Xchange as of January 1, 2022. Previously, the company  raised $530,496 of Equity Crowdfunding via Seedrs on March 27, 2020,  putting the company's pre-money valuation at $6.98 million.",Generating Revenue,"Provider  of financial services intended to offer personalized news and content.  The company's services provide business news by leveraging artificial  intelligence, push notifications, and voice technologies for a portfolio  of stocks, indices, foreign exchange, and commodities, enabling  investors to access crowd-sourced, crowd-curated, real-time news and  tweets for their portfolio from online publications and Twitter.",,"The  company raised GBP 15 million through the combination of debt and  Series B venture funding from Concentric, Kinled Holding and Verve  Ventures (London) on December 3, 2020, putting the company's pre-money  valuation at GBP 31.30 million. North East Fund and Maven Capital  Partners UK also participated in the round. The funds will be used to  invest in its newly opened Newcastle base to deliver on its ambitious  expansion plans and embark on a recruitment drive to grow its local  team, creating 17 new jobs over the next 12 months as well as to  continues roll out a number of exciting product enhancements and  developments.",
Fat Llama,,2017,https://pitchbook.com/profiles/company/172257-76,Fat Llama,2015,"2021: 23, 2020: 24",19,"goods borrowing, goods lending, goods rental, peer-to-peer goods borrowing, peer-to-peer items lending, rental platform","FinTech, SaaS","Application Software, Other Services (B2C Non-Financial)*",,,Venture Capital-Backed,Generating Revenue,31/08/2017,1.51,1.66,Venture Capital,Early Stage VC,1,,1.51,,2,,Venture Capital-Backed,"The  company was in talks to be acquired by Ruckify on an undisclosed date.  Subsequently, the deal was canceled. Previously, d:tribe capital sold a  stake in the company to an undisclosed buyer on July 26, 2021.",Generating Revenue,"Developer  of a peer-to-peer rental platform dedicated to changing the future of  ownership. The company's platform helps people to lend and borrow  belongings with a sum of lender protection per item across cameras,  musical instruments, projectors, drones, and tents among others,  enabling users to save money and access specialized items quickly,  reliably, and conveniently.","645 Ventures, ACE & Company, Blossom Capital (Ophelia Brown), Endure Capital, FundersClub, Greylock Partners, Justin Waldron (Justin Waldron), Paul Buchheit","The  company raised $344.92 million of venture funding from EXOR Seeds,  Ribbit Capital,IP Group, and undisclosed investors on November 23, 2021.  Accel also participated in this round.",
Delio (Other Financial Services),,2017,https://pitchbook.com/profiles/company/101332-45,Delio (Other Financial Services),2014,"2021: 72, 2020: 69, 2019: 50, 2018: 30, 2016: 11",69,"deals  flow management, financial software suite, information services  company, investment platform, private asset management, private assets  platform",FinTech,"Financial Software, Media and Information Services (B2B), Other Financial Services*",Accenture (NYS: ACN),,Venture Capital-Backed,Generating Revenue,29/08/2017,,0.48,Other,Accelerator/Incubator,,,,,6,,Venture Capital-Backed,"The  company raised GBP 8.3 million of venture funding in a deal led by  Octopus Ventures on February 24, 2022. Maven Capital Partners UK also  participated in the round.",Generating Revenue,"Operator  of an investment platform intended to help financial institutions  connect their high net worth clients with the private markets. The  company's platform allows users to control how clients stay informed  with customized notifications, analytics, and reports on a client,  advisor, deal, and platform level to unlock new layers of private market  intelligence along with custom approval processes, enabling financial  institutions and their advisors to enhance their offering through  connecting private deal flow with high net worth capital.",Accenture (NYS: ACN),"The company raised GBP 166,420 of equity crowdfunding in the form of convertible debt via Seedrs on April 21, 2021.",
Capitalise.com,,2017,https://pitchbook.com/profiles/company/221932-81,Capitalise.com,2014,84.24513889,54,"accountant  platform, assets finance, financial information, financial marketplace,  financial services, financial technology, financing platform, lender  platform","FinTech, TMT","Financial Software, Media and Information Services (B2B), Other Financial Services*",,,Venture Capital-Backed,Generating Revenue,25/08/2017,1.83,1.83,Venture Capital,Early Stage VC,1,,1.83,,2,,Venture Capital-Backed,"The  company raised GBP 10.7 million of Series B venture funding from  PostFinance AG - Corporate Venture Capital, Experian and Hambro Perks on  August 31, 2021, putting the company's pre-money valuation at GBP 20.96  million. Gauss Ventures and QED Investors also participated in the  round. The funding will be used to support the launch of an integrated  credit protection service, Capital Reports.",Generating Revenue,"Provider  of financial information services intended to help accounting firms  raise, recover and protect capital. The company's platform offers  in-house technology and data analytics to identify the best financing  options available for UK businesses and permits lenders to offer a  variety of funding products, enabling accountants to better serve and  help their clients by demystifying and streamlining the funding process  and bolstering their position as trusted advisors.","Gauss Ventures, Hambro Perks (George Davies)","The  company raised GBP 2.45 million of venture funding from undisclosed  investors on February 8, 2022, putting the company's pre-money valuation  at GBP 44.84 million.",
Donr,,2017,https://pitchbook.com/profiles/company/292247-65,Donr,#N/A,#N/A,10,"charity app, charity technology, donation platform, fundraising campaigns, fundraising platform, mobile donation","FinTech, Mobile","Application Software, Financial Software*, Other Financial Services",,,Venture Capital-Backed,Startup,24/08/2017,0.02,1.34,Venture Capital,Early Stage VC,2,,0.02,,2,Up Round,Venture Capital-Backed,"The  company raised $350,000 of venture funding from Northstar Ventures and  Andrew Robson on May 1, 2020. The funds will be used to focus on product  development.",Generating Revenue,"Developer  of a mobile text to donate fundraising platform designed to offer funds  for social causes. The company's platform permits users to instantly  support a social cause by texting a keyword and donation amount which  will be added to their phone bill or deducted from their credit,  enabling underprivileged people to find the resources and support they  need for an improved standard of living.",,"The  company raised EUR 20 million of Series A venture funding in a deal led  by ACE & Company on January 11, 2017. Jardines, CoCoon Ignite  Ventures, SBI Holdings, Goldman Sachs Merchant Banking Division, Stem  Financial, Pacific Venture Group, Nova Founders Capital, Seier Capital,  Peter Thiel, Mark Pincus, Pacific Century Premium Developments and  Pacific Century Group also participated in the round. The funds will be  used by the company to improve its user experience, further develop its  proprietary technology including advancing its big data and machine  learning capabilities and also to grow its team.",
Fat Llama,,2017,https://pitchbook.com/profiles/company/172257-76,Fat Llama,2015,"2021: 23, 2020: 24",19,"goods borrowing, goods lending, goods rental, peer-to-peer goods borrowing, peer-to-peer items lending, rental platform","FinTech, SaaS","Application Software, Other Services (B2C Non-Financial)*",Y Combinator (Michael Seibel),,Venture Capital-Backed,Startup,22/08/2017,0.15,0.15,Other,Accelerator/Incubator,,,0.15,,1,,Venture Capital-Backed,"The  company was in talks to be acquired by Ruckify on an undisclosed date.  Subsequently, the deal was canceled. Previously, d:tribe capital sold a  stake in the company to an undisclosed buyer on July 26, 2021.",Generating Revenue,"Developer  of a peer-to-peer rental platform dedicated to changing the future of  ownership. The company's platform helps people to lend and borrow  belongings with a sum of lender protection per item across cameras,  musical instruments, projectors, drones, and tents among others,  enabling users to save money and access specialized items quickly,  reliably, and conveniently.",Y Combinator (Michael Seibel),"The  company raised GBP 323,328 of seed funding in a deal led by SFC Capital  on December 20, 2020, putting the company's pre-money valuation at GBP  1.32 million. Other undisclosed investor also participated in the  rounds.",
Prodigy Finance,,2017,https://pitchbook.com/profiles/company/96585-04,Prodigy Finance,2007,"2020: 200, 2017: 115, 2015: 44, 2014: 26",226,"community  funding platform, consumer finance, education financing, education  funding, education loan service, student loan service","FinTech, TMT","Consumer Finance*, Social/Platform Software",Index Ventures (Neil Rimer),1,Venture Capital-Backed,Generating Revenue,21/08/2017,36.92,373.67,Venture Capital,Later Stage VC,3,Series C,242.64,Series C,3,,Venture Capital-Backed,"The  company received $750 million of debt financing in the form of a loan  from the U.S. International Development Finance Corporation and CPPIB  Credit Investments(Canada pension plan investments is the parent of the  lender) on September 15, 2021. The funds will be used to finance  deserving students for their international education and to grant loans  to postgraduate students with a primary focus on low-income and  lower-middle-income countries (minimum 50 per cent) and women (minimum  30 per cent).",Generating Revenue,"Developer  of a community funding platform designed to provide loans to students  of premium business schools. The company's platform connects alumni and  institutional investors with student borrowers to finance student loans  at the top business schools, enabling students to overcome financial  constraints and gain access to higher education.","Adfisco (Alan Morgan), AlphaCode (South Africa) (Dominique Collett), Balderton Capital (Timothy Bunting), Index Ventures (Neil Rimer), Rancilio Cube","The  company raised $65 million of Series B venture funding led by Spark  Capital on September 22, 2021, putting the company's pre-money valuation  at $650 million. Unbound, Reid Hoffman, Canaan Partners, Slow Ventures,  Breyer Capital, Wamda Capital, Flourish Ventures, To Ventures, Finberg,  Omidyar Network, Helios, ESAS Ventures, and other undisclosed investors  also participated in the round.",
Kasko,,2017,https://pitchbook.com/profiles/company/121394-53,Kasko,2015,"2021: 40, 2020: 40, 2019: 36, 2017: 2, 2016: 14",54,"digital insurance platform, insurance, insurance services, insurtech, on demand insurance product, online insurance","FinTech, InsurTech, SaaS, TMT","Financial Software*, Other Insurance",WeXelerate (Hassen Oezkan Kirmaci),,Venture Capital-Backed,Generating Revenue,14/08/2017,,0.87,Other,Accelerator/Incubator,,,,,7,,Venture Capital-Backed,"The company joined OTP LAB as a part of second international accelerator program on August 25, 2019.",Generating Revenue,"Provider  of a digital insurance platform designed to offer on-demand insurance  products and services. The company's platform connects insurers and  digital platforms to cross-sell insurance products at the point of  demand using plugin or API, enabling digital marketplaces and booking  platforms to offer their customers customized insurance products and  services.",WeXelerate (Hassen Oezkan Kirmaci),"The  company raised GBP 40 million of Series A venture funding in a deal led  by Balderton Capital and Northzone Ventures on May 20, 2019. Joseph  Rowntree Foundation, London Co-Investment Fund, Jigsaw VC, Village  Global, and QED Investors also participated in the round. The funds will  be used to continue to expand operations. A GBP 25 million of debt  financing in the form of a loan was provided by Shawbrook Bank to the  company.",
so-sure,,2017,https://pitchbook.com/profiles/company/162194-05,so-sure,2014,"2021: 21, 2018: 8, 2016: 6",21,"contents insurance, insurance application, insurtech, mobile insurance, online insurance platform, social insurance","FinTech, InsurTech, Mobile, SaaS, TMT","Financial Software, Multi-line Insurance*",500 Global,,Venture Capital-Backed,Generating Revenue,08/08/2017,,0.83,Other,Accelerator/Incubator,,,,,2,,Venture Capital-Backed,"The  company raised GBP 2.83 million of seed funding in a deal led by Breega  on October 4, 2018, putting the company's pre-money valuation at GBP  4.57 million. Itochu, Gauss Ventures and Love Ventures also participated  in the round.",Generating Revenue,"Developer  of an online insurance platform designed to secure the social well  being of every business. The company's platform secures various goods  and vessels and also returns a portion of the policy amount if the  client has no claim during the insurance tenure, enabling clients to get  an assurance of their products during the transition period.",500 Global,"The  company raised GBP 949,701 of venture funding from Mercia Asset  Management on August 23, 2019, putting the company's pre-money valuation  at GBP 1.52 million. The funds will be used will be used expand its  sales and marketing activities and roll out e-Bate to a wider audience,  creating a number of new jobs at their office in Leicester.",
Zero Deposit,,2017,https://pitchbook.com/profiles/company/228865-60,Zero Deposit,2016,84.23402778,35,"deposit security, rent deposit, rent management, rent management platform, rent management tool, rent process","FinTech, Real Estate Technology, TMT","Application Software, Financial Software*, Real Estate Services (B2C)",,,Venture Capital-Backed,Generating Revenue,08/08/2017,0.65,0.65,Venture Capital,Early Stage VC,1,,0.65,,1,,Venture Capital-Backed,"The  company raised GBP 2.25 million of venture funding from The Dispute  Service, Connells Group and The Acorn Group on January 24, 2022, putting  the company's pre-money valuation at GBP 11.44 million. Kuwait Finance  House and Knight Frank also participated in the round. The funds will be  used to further invest in establishing Zero Deposit as the norm in the  rental market and deliver our ambitious plans for 2022.",Generating Revenue,"Operator  of a renting management platform intended to offer deposit-free renting  services. The company's platform gives the choice to pay the rent  within a protection scheme, thereby enabling its clients and landlords  to receive deposit-related security.","Grenville Turner (Grenville Turner), JamJar Investments, KM Capital, The Dispute Service (Steve Harriott), Vanneck","The  company raised an undisclosed amount of venture funding from British  Business Bank, William Kirby and Vikas Stocker on May 1, 2019.",
Previse,,2017,https://pitchbook.com/profiles/company/182952-82,Previse,2016,"2021: 40, 2020: 34, 2019: 33, 2018: 25, 2017: 10",39,"contract  payment, financial platform, financial software system, invoice payment  platform, online finance, supplier payment management","Artificial Intelligence & Machine Learning, FinTech","Financial Software*, Other Financial Services",Hambro Perks (George Davies),1,Venture Capital-Backed,Generating Revenue,01/08/2017,2.73,4.35,Venture Capital,Seed Round,2,Seed Round,3.9,,3,Up Round,Venture Capital-Backed,"The  company raised EUR 10 million of Series B venture funding in a deal led  by Tencent Holdings on April 21, 2022, putting the company's pre-money  valuation at EUR 65 million. MasterCard, Hambro Perks, Augmentum  Fintech, and Reefknot Investments also participated in the round.",Generating Revenue,"Developer  of a financial platform designed to reinvent business finance. The  company's platform uses machine learning to analyze invoices and predict  future revenues, enabling businesses to speed up invoice payments.","Angel Investors Network, Founders Factory, Hambro Perks (George Davies), John Gildersleeve (John Gildersleeve)","The  company raised GBP 1.01 million of angel funding from undisclosed  investors on December 14, 2020, putting the company's pre-money  valuation at GBP 8.37 million.",
Kantox,,2017,https://pitchbook.com/profiles/company/55278-19,Kantox,2011,"2021: 148, 2020: 120, 2019: 115, 2018: 100, 2017: 80, 2015: 60, 2014: 45, 2012: 12",143,"currency  management automation, currency management software, e-fx platform,  foreign exchange, foreign exchange risk, fx risk management","FinTech, TMT","Business/Productivity Software, Financial Software*, Other Commercial Services, Other Financial Services","Idinvest Partners (Benoist Grossmann), Partech (Philippe Collombel)",3,Venture Capital-Backed,Generating Revenue,31/07/2017,9.8,21.16,Venture Capital,Later Stage VC,4,Series B,11.54,Series B,4,Down Round,Venture Capital-Backed,Mola and Komm Investment sold their stake in the company to an undisclosed buyer approximately in September 2021.,Generating Revenue,"Developer  of a currency management automation software intended to help  businesses to automate their end-to-end corporate foreign exchange (FX)  workflow, eliminate risk and leverage foreign currencies to increase  competitiveness. The company's solutions allow businesses to easily  manage their complete FX process, from capturing and managing exposure  data, and automating hedging executions to pricing products and  collecting payments and offers its services to industries such as food,  travel, chemical, e-commerce, retail, and gas sectors, enabling  corporate clients to get the required support for their foreign exchange  workflow management.","Cabiedes & Partners, Grupo ITnet, Idinvest Partners (Benoist Grossmann), Partech (Philippe Collombel)","The  company raised GBP 299,999 of venture funding from undisclosed  investors on June 23, 2020, putting the company's pre-money valuation at  GBP 2.22 million.",
Plotinus,,2017,https://pitchbook.com/profiles/company/187693-21,Plotinus,2013,0,,"artificial  intelligence technology, asset management sector, data analytics,  market analysis, market data, market data analysis, trading data  analysis","Artificial Intelligence & Machine Learning, FinTech, TMT","Financial Software, Other Financial Services*",Clarendon Fund Managers,,Venture Capital-Backed,Generating Revenue,30/07/2017,0.46,1.22,Venture Capital,Early Stage VC,1,,0.46,,4,Down Round,Venture Capital-Backed,"The  company raised an estimated GBP 862,000 of venture funding from  undisclosed investors on August 10, 2020. Out of which GBP 300,000 is in  the form of convertible debt.",Generating Revenue,"Provider  of artificial intelligence-based investment advisory services dedicated  to offering best-fit approaches to access its investment strategies.  The company's platform uses algorithmic trading strategies that help in  extracting misperceptions of market value and provides investment  advisory services through custom advisory arrangements, enabling clients  and companies to generate market gains with the use of available data.",Clarendon Fund Managers,"The  company raised GBP 660,000 of seed funding from Ironbridge Capital  Partners on February 1, 2017, putting the pre-money valuation at GBP  458,556.",
Revolut,,2017,https://pitchbook.com/profiles/company/104383-72,Revolut,2014,"2021: 2874, 2020: 2261, 2019: 2261, 2018: 633, 2017: 140, 2016: 45, 2015: 7","4,293","foreign  exchange operations, mobile money transfer, money exchange app, online  financial exchange, personal finance tracking, youth banking","Cryptocurrency/Blockchain, FinTech","Application Software, Financial Software*, Other Financial Services",,,Venture Capital-Backed,Generating Revenue,30/07/2017,5.3,26.95,Individual,Equity Crowdfunding,,,5.3,,7,,Venture Capital-Backed,"An undisclosed investor sold a stake in the company to Rexus Investment Fund for an undisclosed amount on May 12, 2022.",Generating Revenue,"Developer  of a foreign exchange and money transferring application designed for  customers and businesses. The company's platform compares live exchange  rates for multiple currencies, makes transfers directly to other bank  accounts, tracks and optimizes monthly expenses, and assists in buying  and selling cryptocurrencies, thus enabling customers to improve their  financial health, give them more control, and connect people seamlessly  across the world.",,"The  company raised GBP 950,000 of venture funding from Mercia Asset  Management, Midlands Engine Investment Fund and Government of UK on  October 13, 2020. Other undisclosed investors also participated in the  round. The funds will be used to expand their sales and marketing  activities and roll out e-Bate to a wider audience, creating new jobs at  their office in Leicester.",
